Region,Alliance,Rank,Votes,Result,Candidate,Party,Constituency,SeatsWon,rcount_BJP_cong_jds_nota,ResultMinority
Bengaluru Karnataka,Cong-JDS,1st,109955,Won_,K.J GEORGE,Indian National Congress,Sarvagnanagar,1,1,Won - had more than 50% votes
Bengaluru Karnataka,BJP,2nd,56651,Lost_,M.N.REDDY,Bharatiya Janata Party,Sarvagnanagar,0,1,Lost
Bengaluru Karnataka,Cong-JDS,3rd,4926,Lost_,ANWAR SHARIEFF,Janata Dal (Secular),Sarvagnanagar,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,1861,Lost_,PRITHVI REDDY,Aam Aadmi Party,Sarvagnanagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,578,Lost_,N.D.SOLOMON RAJU,Independent,Sarvagnanagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,323,Lost_,IRSHAD AHMED KHAN,Karnataka Pragnyavantha Janatha Party,Sarvagnanagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,279,Lost_,RADHA KRISHNA.T,Independent,Sarvagnanagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,214,Lost_,DAWN BEENA.S,Samanya Janatha Party (Loktantrik),Sarvagnanagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,196,Lost_,KEMPURAJAN,Republican Sena,Sarvagnanagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,179,Lost_,MOHAN.H,Independent,Sarvagnanagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,171,Lost_,S.SYED HIDAYATHULLA,All India Mahila Empowerment Party,Sarvagnanagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,148,Lost_,MODI SAIFULLA,Independent,Sarvagnanagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,106,Lost_,SHABBIR SHARIFF,Dr. Ambedkar People's Party,Sarvagnanagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,99,Lost_,DR.MEER LAYAQ HUSSAIN,Independent,Sarvagnanagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,NOTA_a,4th,2405,Lost_,None of the Above,NOTA,Sarvagnanagar,0,1,Lost - had less than 20% votes
Bombay Karnataka,BJP,1st,62480,Won_,ANAND VISHWANATH CHANDRASHEKHAR MAMANI,Bharatiya Janata Party,Saundatti yellamma,1,1,Won
Bombay Karnataka,Others_a,2nd,56189,Lost_,ANAND CHOPRA,Independent,Saundatti yellamma,0,0,Lost
Bombay Karnataka,Cong-JDS,3rd,30018,Lost_,VISHWAS VASANT VAIDYA,Indian National Congress,Saundatti yellamma,0,1,Lost - had less than 20% votes
Bombay Karnataka,Others_a,4th,970,Lost_,SHAMEER KARIMBEG JAMADAR,All India Mahila Empowerment Party,Saundatti yellamma,0,0,Lost - had less than 20% votes
Bombay Karnataka,Cong-JDS,5th and above,758,Lost_,DODDAGOUDA FAKIRGOUDA PATIL,Janata Dal (Secular),Saundatti yellamma,0,1,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,701,Lost_,D.B.NAIK,Independent,Saundatti yellamma,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,616,Lost_,PANCHANAGOUDA KALLAPPA SANAGOUDRA,Samanya Janatha Party (Loktantrik),Saundatti yellamma,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,610,Lost_,ISHWAR CHANNAPPA MELAGIRI,Janata Dal (United),Saundatti yellamma,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,405,Lost_,ANGADI MAHESH GURAPPA,Nationalist Congress Party,Saundatti yellamma,0,0,Lost - had less than 20% votes
Bombay Karnataka,NOTA_a,5th and above,960,Lost_,None of the Above,NOTA,Saundatti yellamma,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,BJP,1st,80668,Won_,RAJKUMAR PATIL,Bharatiya Janata Party,Sedam,1,1,Won - had more than 50% votes
Hyderabad Karnataka,Cong-JDS,2nd,73468,Lost_,DR. SHARAN PRAKASH RUDRAPPA PATIL,Indian National Congress,Sedam,0,1,Lost
Hyderabad Karnataka,Cong-JDS,3rd,2075,Lost_,SUNITA MAHANTESH TALAWAR MALKHED,Janata Dal (Secular),Sedam,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,1099,Lost_,REKHA DAYANAND HULASAGUD,All India Mahila Empowerment Party,Sedam,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,NOTA_a,4th,1260,Lost_,None of the Above,NOTA,Sedam,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,Cong-JDS,1st,78642,Won_,SHARANABASAPPA GOUDA DARSHANAPUR,Indian National Congress,Shahapur,1,1,Won - had more than 50% votes
Hyderabad Karnataka,BJP,2nd,47668,Lost_,GURU PATIL SIRWAL,Bharatiya Janata Party,Shahapur,0,1,Lost
Hyderabad Karnataka,Cong-JDS,3rd,23329,Lost_,AMEENRADDI YALAGI,Janata Dal (Secular),Shahapur,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,4th,1767,Lost_,AZAM ALI,All India Mahila Empowerment Party,Shahapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,1197,Lost_,MANOHAR,Independent,Shahapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,1017,Lost_,BASAVARAJ,Independent,Shahapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,561,Lost_,BHIMARAYA,Jana Samanyara Party (Karnataka),Shahapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,480,Lost_,APPA SAHEBAGOUDA,Independent,Shahapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,347,Lost_,ANWAR HUSSAIN,Independent,Shahapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,NOTA_a,5th and above,1422,Lost_,None of the Above,NOTA,Shahapur,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Cong-JDS,1st,60009,Won_,N A HARIS,Indian National Congress,Shanti Nagar,1,1,Won
Bengaluru Karnataka,BJP,2nd,41804,Lost_,K VASUDEVAMURTHY,Bharatiya Janata Party,Shanti Nagar,0,1,Lost
Bengaluru Karnataka,Cong-JDS,3rd,13569,Lost_,N R SRIDHAR REDDY,Janata Dal (Secular),Shanti Nagar,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,4th,2658,Lost_,RENUKA VISHWANATHAN,Aam Aadmi Party,Shanti Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,340,Lost_,JOHN PAUL,Rashtriya Manav Vikas Party,Shanti Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,327,Lost_,PETER SAMSON BABU,Independent,Shanti Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,298,Lost_,PRABHU BOSCO,Independent,Shanti Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,183,Lost_,T DAYAL KUMAR,Independent,Shanti Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,141,Lost_,SYED ASIF BUKHARI,Independent,Shanti Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,114,Lost_,A A SANTOSH,Independent,Shanti Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,112,Lost_,SEVEN RAJ,Karnataka Pragnyavantha Janatha Party,Shanti Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,111,Lost_,NAGARAJ D S,Independent,Shanti Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,105,Lost_,NARASIMHA PRASAD M,All India Mahila Empowerment Party,Shanti Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,69,Lost_,JOSHUA M E RAJAN,Republican Party of India (A),Shanti Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,58,Lost_,ANTHONY RAJ S,Independent,Shanti Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,54,Lost_,CHANDRASHEKAR S B,Independent,Shanti Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,46,Lost_,AVINASH DASAN,Independent,Shanti Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,36,Lost_,ABRAHAM YATES,Independent,Shanti Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,NOTA_a,5th and above,1386,Lost_,None of the Above,NOTA,Shanti Nagar,0,1,Lost - had less than 20% votes
Bombay Karnataka,BJP,1st,83868,Won_,BASAVARAJ BOMMAI,Bharatiya Janata Party,Shiggaon,1,1,Won
Bombay Karnataka,Cong-JDS,2nd,74603,Lost_,SAYED AZEEMPEER KHADRI,Indian National Congress,Shiggaon,0,1,Lost
Bombay Karnataka,Others_a,3rd,7203,Lost_,SOMANNA URF SWAMILING BEVINAMARAD,Independent,Shiggaon,0,0,Lost - had less than 20% votes
Bombay Karnataka,Cong-JDS,4th,1353,Lost_,ASHOK BEVINAMAR,Janata Dal (Secular),Shiggaon,0,1,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,968,Lost_,SUNIL J A,Independent,Shiggaon,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,950,Lost_,MAINUDDIN KATIB,All India Mahila Empowerment Party,Shiggaon,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,352,Lost_,SHIVAPPA KABANUR,Independent,Shiggaon,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,237,Lost_,HATHIWALE SIKHANDAR,Praja Parivartan Party,Shiggaon,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,143,Lost_,DUDDUSAB KANAVALLI,Independent,Shiggaon,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,111,Lost_,MOHAN HITTANAGI,Independent,Shiggaon,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,102,Lost_,MAHABUBAKHAN PATHAN,Independent,Shiggaon,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,95,Lost_,PARAMESHI SHETIBAR,Independent,Shiggaon,0,0,Lost - had less than 20% votes
Bombay Karnataka,NOTA_a,5th and above,1089,Lost_,None of the Above,NOTA,Shiggaon,0,1,Lost - had less than 20% votes
Central Karnataka,BJP,1st,86983,Won_,B S YADIYURAPPA,Bharatiya Janata Party,Shikaripura,1,1,Won - had more than 50% votes
Central Karnataka,Cong-JDS,2nd,51586,Lost_,GONI MALATESHA,Indian National Congress,Shikaripura,0,1,Lost
Central Karnataka,Cong-JDS,3rd,13191,Lost_,H T BALEGAR,Janata Dal (Secular),Shikaripura,0,1,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,693,Lost_,CHANDRAKANTA S REVANAKAR,Aam Aadmi Party,Shikaripura,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,459,Lost_,VINAY K C RAJAVATH,Independent,Shikaripura,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,342,Lost_,N HANUMEGOWDA,Independent,Shikaripura,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,319,Lost_,KOPPALU MANJANNA,Independent,Shikaripura,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,205,Lost_,KOTESHWARA,Independent,Shikaripura,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,202,Lost_,ANIL M R,Independent,Shikaripura,0,0,Lost - had less than 20% votes
Central Karnataka,NOTA_a,4th,903,Lost_,None of the Above,NOTA,Shikaripura,0,1,Lost - had less than 20% votes
Central Karnataka,BJP,1st,104027,Won_,K.S. ESHWARAPPA,Bharatiya Janata Party,Shimoga,1,1,Won - had more than 50% votes
Central Karnataka,Cong-JDS,2nd,57920,Lost_,K.B. PRASANNA KUMAR,Indian National Congress,Shimoga,0,1,Lost
Central Karnataka,Cong-JDS,3rd,5796,Lost_,H.N. NIRANJAN,Janata Dal (Secular),Shimoga,0,1,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,671,Lost_,RAVIKISHAN,Independent,Shimoga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,598,Lost_,A.YASEEN MUBARAK,Independent,Shimoga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,572,Lost_,G.NARASIMHAMURTHY (BABANNA),Independent,Shimoga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,397,Lost_,MOHAMMED YUSUF KHAN,All India Mahila Empowerment Party,Shimoga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,327,Lost_,SHAFINAZ BEGAM,Independent,Shimoga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,195,Lost_,DR.NARENDRA P.L.,Independent,Shimoga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,152,Lost_,GO.RAMESH GOWDA,Jana Samanyara Party (Karnataka),Shimoga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,120,Lost_,S VASANTHA KUMAR,Independent,Shimoga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,118,Lost_,NOOR AHMED N.,Independent,Shimoga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,112,Lost_,B.S.SRINATH (CHINNY),Independent,Shimoga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,101,Lost_,M.RAMESH,Republican Sena,Shimoga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,77,Lost_,B.CHANNABASAPPA,Independent,Shimoga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,73,Lost_,CHANDRASHEKHAR H.G.,Independent,Shimoga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,67,Lost_,SUREKHA.P.V.,"Proutist Bloc, India",Shimoga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,59,Lost_,KHAJA GAREEBUN NAWAB M,Independent,Shimoga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,52,Lost_,M.SAMIULLA,Namma Congress,Shimoga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,45,Lost_,ASHOK DODDA THALAVAR,Independent,Shimoga,0,0,Lost - had less than 20% votes
Central Karnataka,NOTA_a,4th,875,Lost_,None of the Above,NOTA,Shimoga,0,1,Lost - had less than 20% votes
Central Karnataka,BJP,1st,69326,Won_,K.B. ASHOK NAIK,Bharatiya Janata Party,Shimoga Rural,1,1,Won
Central Karnataka,Cong-JDS,2nd,65549,Lost_,SHARADA PURYANAIK,Janata Dal (Secular),Shimoga Rural,0,1,Lost
Central Karnataka,Cong-JDS,3rd,33493,Lost_,SREENIVAS KARIYANNA,Indian National Congress,Shimoga Rural,0,1,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,951,Lost_,MAMATHA RANI,Independent,Shimoga Rural,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,610,Lost_,MANIKANTA B.L.,Independent,Shimoga Rural,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,570,Lost_,S. KRISHNA,All India Mahila Empowerment Party,Shimoga Rural,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,421,Lost_,L.RANGASWAMY,Republican Sena,Shimoga Rural,0,0,Lost - had less than 20% votes
Central Karnataka,NOTA_a,4th,1328,Lost_,None of the Above,NOTA,Shimoga Rural,0,1,Lost - had less than 20% votes
Bombay Karnataka,BJP,1st,91967,Won_,RAMAPPA SOBEPPA LAMANI,Bharatiya Janata Party,Shirahatti,1,1,Won - had more than 50% votes
Bombay Karnataka,Cong-JDS,2nd,61974,Lost_,DODDAMANI RAMAKRISHNA SHIDLINGAPPA,Indian National Congress,Shirahatti,0,1,Lost
Bombay Karnataka,Others_a,4th,939,Lost_,CHANDRAKANTH SUBHAS KADROLLI,Bahujan Samaj Party,Shirahatti,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,867,Lost_,ARUNKUMAR VEERANNA TIRLAPUR,Janahitha Paksha,Shirahatti,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,846,Lost_,DODDAMANI MALLIKARJUN YALLAPPA,All India Mahila Empowerment Party,Shirahatti,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,651,Lost_,AMRUTA RATNAKAR YENI,Independent,Shirahatti,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,573,Lost_,RAJAVENKATESH DEVARAJ KARABHARI,Rani Chennamma Party,Shirahatti,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,539,Lost_,DURAGAPPA LAXMAPPA HARIJAN,Independent,Shirahatti,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,522,Lost_,L NARAYANASWAMY,Bharatiya Republican Paksha,Shirahatti,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,267,Lost_,GEETA KRISHNA NAYAK,Nationalist Congress Party,Shirahatti,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,250,Lost_,KUMAR BHIMASHEPPA LAMANI,BhartiyaBahujanKranti Dal,Shirahatti,0,0,Lost - had less than 20% votes
Bombay Karnataka,NOTA_a,3rd,1209,Lost_,None of the Above,NOTA,Shirahatti,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Cong-JDS,1st,59742,Won_,R ROSHAN BAIG,Indian National Congress,Shivajinagar,1,1,Won - had more than 50% votes
Bengaluru Karnataka,BJP,2nd,44702,Lost_,KATTA SUBRAMANYA NAIDU,Bharatiya Janata Party,Shivajinagar,0,1,Lost
Bengaluru Karnataka,Cong-JDS,4th,1313,Lost_,SHAIK MASTHAN ALI,Janata Dal (Secular),Shivajinagar,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,300,Lost_,AYUB KHAN,Aam Aadmi Party,Shivajinagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,198,Lost_,ROBERT CLIVE,Independent,Shivajinagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,104,Lost_,SYED JAFFAR,All India Mahila Empowerment Party,Shivajinagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,99,Lost_,K NARASIMHA,Independent,Shivajinagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,96,Lost_,AMJAD KHAN,Ambedkar Samaj Party,Shivajinagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,77,Lost_,DR PHILIP MARIAN,Republican Party of India (A),Shivajinagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,70,Lost_,ANIL PRAKASH,Independent,Shivajinagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,57,Lost_,AMBROSE D' MELLO,Independent,Shivajinagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,46,Lost_,JEEVAN STEPHEN,Bhartiya Republican Party (Insan),Shivajinagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,42,Lost_,DR MEER LAYAQ HUSSAIN,Independent,Shivajinagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,34,Lost_,SHANAWAZ AHMED,Dr. Ambedkar People's Party,Shivajinagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,NOTA_a,3rd,1654,Lost_,None of the Above,NOTA,Shivajinagar,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,BJP,1st,104426,Won_,NARASIMHANAYAK (RAJUGOUDA),Bharatiya Janata Party,Shorapur,1,1,Won - had more than 50% votes
Hyderabad Karnataka,Cong-JDS,2nd,81858,Lost_,RAJA VENKATAPPA NAIK,Indian National Congress,Shorapur,0,1,Lost
Hyderabad Karnataka,Cong-JDS,3rd,4796,Lost_,RAJA KRISHNAPPA NAYAK,Janata Dal (Secular),Shorapur,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,1513,Lost_,RAJA RAMAPPA NAYAK (JEJI),All India Mahila Empowerment Party,Shorapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,795,Lost_,YAMANAPPA,Independent,Shorapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,772,Lost_,ANILKUMAR,Independent,Shorapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,594,Lost_,HANAMANTRAYA,Independent,Shorapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,387,Lost_,GOPAL,Independent,Shorapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,335,Lost_,CHANDRAKANTH,Independent,Shorapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,NOTA_a,4th,1720,Lost_,None of the Above,NOTA,Shorapur,0,1,Lost - had less than 20% votes
Southern Karnataka,Cong-JDS,1st,105516,Won_,C N BALAKRISHNA,Janata Dal (Secular),Shravanabelagola,1,1,Won - had more than 50% votes
Southern Karnataka,Cong-JDS,2nd,52504,Lost_,C S PUTTEGOWDA,Indian National Congress,Shravanabelagola,0,1,Lost
Southern Karnataka,BJP,3rd,7506,Lost_,SHIVANANJEGOWDA,Bharatiya Janata Party,Shravanabelagola,0,1,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,415,Lost_,DWARAKISH,All India Mahila Empowerment Party,Shravanabelagola,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,414,Lost_,BOJEGOWDA,Samanya Janatha Party (Loktantrik),Shravanabelagola,0,0,Lost - had less than 20% votes
Southern Karnataka,NOTA_a,4th,906,Lost_,None of the Above,NOTA,Shravanabelagola,0,1,Lost - had less than 20% votes
Southern Karnataka,Cong-JDS,1st,101307,Won_,RAVINDRA SRIKANTAIAH,Janata Dal (Secular),Shrirangapattana,1,1,Won - had more than 50% votes
Southern Karnataka,Cong-JDS,2nd,57619,Lost_,A.B.RAMESHA BANDISIDDEGOWDA,Indian National Congress,Shrirangapattana,0,1,Lost
Southern Karnataka,BJP,3rd,11326,Lost_,NANJUNDEGOWDA.K. S,Bharatiya Janata Party,Shrirangapattana,0,1,Lost - had less than 20% votes
Southern Karnataka,Others_a,4th,1941,Lost_,VENKATESHA.C.S,Aam Aadmi Party,Shrirangapattana,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,1736,Lost_,MOHAN KUMAR U. KIRANGOORU PAAPU,Independent,Shrirangapattana,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,462,Lost_,S.S.RAJASHEKARAIAH,Independent,Shrirangapattana,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,433,Lost_,SATHEESHA.H.M,Praja Parivartan Party,Shrirangapattana,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,334,Lost_,C.LINGEGOWDA,Independent,Shrirangapattana,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,210,Lost_,M.M. MAHESHA GOWDA,Independent,Shrirangapattana,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,205,Lost_,SURESHA.V,All India Mahila Empowerment Party,Shrirangapattana,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,136,Lost_,KEMPEGOWDA,Independent,Shrirangapattana,0,0,Lost - had less than 20% votes
Southern Karnataka,NOTA_a,5th and above,946,Lost_,None of the Above,NOTA,Shrirangapattana,0,1,Lost - had less than 20% votes
Southern Karnataka,Cong-JDS,1st,76240,Won_,V. MUNIYAPPA,Indian National Congress,Sidlaghatta,1,1,Won
Southern Karnataka,Cong-JDS,2nd,66531,Lost_,B.N. RAVIKUMAR,Janata Dal (Secular),Sidlaghatta,0,1,Lost
Southern Karnataka,Others_a,3rd,10986,Lost_,ANJINAPPA (PUTTU),Independent,Sidlaghatta,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,4th,8593,Lost_,M .RAJANNA,Independent,Sidlaghatta,0,0,Lost - had less than 20% votes
Southern Karnataka,BJP,5th and above,3596,Lost_,SURESH.H.,Bharatiya Janata Party,Sidlaghatta,0,1,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,1081,Lost_,B.S.MOULA JAAN,Ambedkar National Congress,Sidlaghatta,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,752,Lost_,S.N. RAVIKUMAR,Independent,Sidlaghatta,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,290,Lost_,VENKATESHAPPA,Republican Sena,Sidlaghatta,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,282,Lost_,M. NARAYANASWAMY,Jai Bharath Jena Sena Party,Sidlaghatta,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,220,Lost_,WISDOM NAGARAJ,Independent,Sidlaghatta,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,207,Lost_,K.V. YAMEGOWDA,All India Mahila Empowerment Party,Sidlaghatta,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,202,Lost_,MOHAMMED ISMAIL,Samajwadi Party,Sidlaghatta,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,159,Lost_,R. MOHAN,Independent,Sidlaghatta,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,125,Lost_,Y.N. GANGADHARA,Independent,Sidlaghatta,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,100,Lost_,BYAREGOWDA VENKATASHAMI,Independent,Sidlaghatta,0,0,Lost - had less than 20% votes
Southern Karnataka,NOTA_a,5th and above,958,Lost_,None of the Above,NOTA,Sidlaghatta,0,1,Lost - had less than 20% votes
Bombay Karnataka,Cong-JDS,1st,70865,Won_,MANAGULI MALLAPPA CHANNAVEERAPPA,Janata Dal (Secular),Sindgi,1,1,Won
Bombay Karnataka,BJP,2nd,61560,Lost_,BHUSANUR RAMESH BALAPPA,Bharatiya Janata Party,Sindgi,0,1,Lost
Bombay Karnataka,Cong-JDS,3rd,22818,Lost_,SALI MALLANNA NINGAPPA,Indian National Congress,Sindgi,0,1,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,918,Lost_,SHAMASHODDIN KHAJESAB MULLA,Nationalist Congress Party,Sindgi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,781,Lost_,NAGESH LAKKU RATHOD,Independent,Sindgi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,703,Lost_,GULSHANBI DAVALSAB NADAF,All India Mahila Empowerment Party,Sindgi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,638,Lost_,LIYAKHATALI MIRASAHEB DARGA,Praja Parivartan Party,Sindgi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,576,Lost_,MALLU NAGAPPA PUJARI,Independent,Sindgi,0,0,Lost - had less than 20% votes
